"B_CD5"	"B_Memory"	"B_Naive"	"CD4_Central_Memory"	"CD4_Effector_Memory"	"CD4_Naive"	"CD4_Th1"	"CD4_Th17"	"CD4_Th2"	"CD4_Treg"	"CD8_Central_Memory"	"CD8_Effector"	"CD8_Naive"	"Macrophage CD38- CD204-"	"Macrophage CD38+ CD204+"	"T PD-1-"	"T PD-1+"
"1"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"2"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"3"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"6"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"7"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"8"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"9"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"10"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"11"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"12"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"13"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"14"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"15"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"16"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"17"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"18"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"19"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"20"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"21"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"22"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"23"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"24"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"25"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"26"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"27"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"28"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"29"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"30"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"31"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"32"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"33"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"34"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"35"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"36"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"37"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"38"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"39"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"40"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"41"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"42"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"43"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"44"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"45"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"46"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"47"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"48"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"49"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"50"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"51"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"52"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"53"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"54"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"55"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"56"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"57"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"58"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"59"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"60"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"61"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"62"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"63"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"ERR1906199.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906200.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906201.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906202.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906203.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906204.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906205.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906206.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906207.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906208.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906209.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906210.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906211.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906212.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906213.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906214.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906215.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906216.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906217.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906218.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906219.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906220.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906221.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906222.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906223.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906224.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906225.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906226.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906227.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ERR1906228.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERR1906229.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERR1906230.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERR1906231.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERR1906232.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERR1906233.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERR1906234.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERR1906235.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERR1906236.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERR1906237.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERR1906238.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERR1906239.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERR1906240.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERR1906241.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERR1906242.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERR1906243.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERR1906244.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERR1906245.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERR1906246.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ERR1906247.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ERR1906248.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ERR1906249.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ERR1906250.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ERR1906251.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ERR1906252.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ERR1906253.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ERR1906254.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ERR1906255.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ERR1906256.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ERR1906257.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ERR1906258.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ERR1906259.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ERR1906260.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ERR1906261.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ERR1906262.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ERR1906263.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ERR1906264.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERR1906265.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERR1906266.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERR1906267.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERR1906268.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERR1906269.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERR1906270.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERR1906271.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERR1906272.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERR1906273.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERR1906274.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERR1906275.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERR1906276.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERR1906277.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERR1906278.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERR1906279.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERR1906280.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERR1906281.fastq.gz"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
